% # of blocks, # of connections, # maximum delay
70,75,57
% block no, block name, core, start time, end time
0,branch_offset_rate210_Gain,1,49,51
1,branch_offset_rate210_Subsystem,0,42,43
2,branch_offset_rate210_Subsystem_Add,0,13,14
3,branch_offset_rate210_Subsystem_Add1,0,11,12
4,branch_offset_rate210_Subsystem_Add2,0,18,19
5,branch_offset_rate210_Subsystem_Add3,1,42,43
6,branch_offset_rate210_Subsystem_Add4,0,41,42
7,branch_offset_rate210_Subsystem_Gain,0,7,8
8,branch_offset_rate210_Subsystem_Gain1,0,9,10
9,branch_offset_rate210_Subsystem_Gain10,1,55,56
10,branch_offset_rate210_Subsystem_Gain11,0,10,11
11,branch_offset_rate210_Subsystem_Gain12,0,15,16
12,branch_offset_rate210_Subsystem_Gain13,0,17,18
13,branch_offset_rate210_Subsystem_Gain14,0,16,17
14,branch_offset_rate210_Subsystem_Gain15,0,25,26
15,branch_offset_rate210_Subsystem_Gain16,0,33,34
16,branch_offset_rate210_Subsystem_Gain17,0,36,37
17,branch_offset_rate210_Subsystem_Gain18,0,40,41
18,branch_offset_rate210_Subsystem_Gain19,0,21,22
19,branch_offset_rate210_Subsystem_Gain2,0,8,9
20,branch_offset_rate210_Subsystem_Gain20,0,24,25
21,branch_offset_rate210_Subsystem_Gain21,0,32,33
22,branch_offset_rate210_Subsystem_Gain22,0,26,27
23,branch_offset_rate210_Subsystem_Gain23,0,34,35
24,branch_offset_rate210_Subsystem_Gain24,0,35,36
25,branch_offset_rate210_Subsystem_Gain25,0,39,40
26,branch_offset_rate210_Subsystem_Gain26,0,22,23
27,branch_offset_rate210_Subsystem_Gain27,0,23,24
28,branch_offset_rate210_Subsystem_Gain28,0,31,32
29,branch_offset_rate210_Subsystem_Gain3,1,17,18
30,branch_offset_rate210_Subsystem_Gain4,1,19,20
31,branch_offset_rate210_Subsystem_Gain5,1,23,24
32,branch_offset_rate210_Subsystem_Gain6,1,25,26
33,branch_offset_rate210_Subsystem_Gain7,1,29,30
34,branch_offset_rate210_Subsystem_Gain8,1,31,32
35,branch_offset_rate210_Subsystem_Gain9,1,48,49
36,branch_offset_rate210_Subsystem_In1,1,2,4
37,branch_offset_rate210_Subsystem_MathFunction1,0,12,13
38,branch_offset_rate210_Subsystem_MathFunction10,1,44,45
39,branch_offset_rate210_Subsystem_MathFunction11,0,29,30
40,branch_offset_rate210_Subsystem_MathFunction12,0,37,38
41,branch_offset_rate210_Subsystem_MathFunction13,0,20,21
42,branch_offset_rate210_Subsystem_MathFunction14,0,28,29
43,branch_offset_rate210_Subsystem_MathFunction15,0,30,31
44,branch_offset_rate210_Subsystem_MathFunction16,0,38,39
45,branch_offset_rate210_Subsystem_MathFunction17,0,19,20
46,branch_offset_rate210_Subsystem_MathFunction18,0,27,28
47,branch_offset_rate210_Subsystem_MathFunction2,0,5,6
48,branch_offset_rate210_Subsystem_MathFunction3,1,18,19
49,branch_offset_rate210_Subsystem_MathFunction4,1,15,16
50,branch_offset_rate210_Subsystem_MathFunction5,1,24,25
51,branch_offset_rate210_Subsystem_MathFunction6,1,21,22
52,branch_offset_rate210_Subsystem_MathFunction7,1,30,31
53,branch_offset_rate210_Subsystem_MathFunction8,1,27,28
54,branch_offset_rate210_Subsystem_MathFunction9,1,51,52
55,branch_offset_rate210_Subsystem_Out1,1,56,57
56,branch_offset_rate210_Subsystem_S_Function,0,6,7
57,branch_offset_rate210_Subsystem_S_Function1,1,16,17
58,branch_offset_rate210_Subsystem_S_Function2,1,22,23
59,branch_offset_rate210_Subsystem_S_Function3,1,28,29
60,branch_offset_rate210_Subsystem_S_Function4,1,47,48
61,branch_offset_rate210_Subsystem_Sqrt1,0,4,5
62,branch_offset_rate210_Subsystem_Sqrt2,0,14,15
63,branch_offset_rate210_Subsystem_Sqrt3,1,20,21
64,branch_offset_rate210_Subsystem_Sqrt4,1,26,27
65,branch_offset_rate210_Subsystem_Sqrt5,1,43,44
66,branch_offset_rate210_Sum,1,53,55
67,branch_offset_rate210_UnitDelay,1,52,53
68,branch_offset_rate210_UnitDelay1,1,45,47
69,branch_offset_rate210_UnitDelay2,1,0,2
% initial block, terminal block
0,66
0,69
55,67
2,62
3,2
4,41
4,45
5,65
6,5
7,19
8,37
9,55
10,3
11,13
12,4
13,4
14,42
15,16
16,40
17,6
18,20
19,3
20,14
21,15
22,46
23,24
24,44
25,6
26,27
27,22
28,23
29,48
30,63
31,50
32,64
33,52
34,5
35,54
36,61
37,2
38,60
39,21
40,17
41,18
42,39
43,28
44,25
45,26
46,43
47,56
48,30
49,57
50,32
51,58
52,34
53,59
54,9
56,8
57,29
58,31
59,33
60,35
61,7
61,10
61,47
62,11
62,12
62,49
63,51
64,53
65,38
66,68
67,66
68,0
69,36
